post_id,text,creator,expected_label,predicted_label,scam_probability,explanation,method,confidence,url
3lfhlq22h4s2h,"• Earn crypto with your internet connection 🤩 $GRASS     

• Generate passive income simply by selling a resource that you own but don't use to the full.        

• Join and start earning    ➡️   app.getgrass.io/register/?re...

#Grass #Airdrops #Crypto #Rewards #Web3 #EarnMoney #PassiveIncome",cryptovicr.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/cryptovicr.bsky.social/post/3lfhlq22h4s2h
3lf3svhjkjk2t,"With ProTrainings you can promote our video online training and earn 40% commission, it’s feee to set up and no commitment.  Add links to your sites and earn. 

Want to know more? Contact us 01206 805359  support@protrainings.uk  www.protrainings.uk 

#earnmoney #money #training #commission #income",protrainings.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases,regex_patterns,85,https://bsky.app/profile/protrainings.bsky.social/post/3lf3svhjkjk2t
3ler6twazjp2h,"I Earn $11,110.00 Every Month From Multiple Sources Of Passive Income.

#PassiveIncome #FinancialFreedom #MultipleStreams #EarnMoney #SideHustle #WealthBuilding #IncomeGoals #MoneyMindset #FinancialIndependence #EntrepreneurLife
https://go.crystalwi...",crystalwind.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/crystalwind.bsky.social/post/3ler6twazjp2h
3ldwgxydd5s27,"Earn up to $1,500 in rewards! 💰
Complete tailored offers (streaming, apps, games) and cash out via gift cards, PayPal, or direct deposit.

🌟 Over $20M paid out already!

Start earning today!
👉 tmtrcks.com/250393/1023

#ad #sponsored #earnmoney #giftcards #rewards #cashout #bluesky",iamaaronnetch.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/iamaaronnetch.bsky.social/post/3ldwgxydd5s27
3ldwgikvom227,"Earn up to $1,500 in rewards! 💰
Complete tailored offers (streaming, apps, games) and cash out via gift cards, PayPal, or direct deposit.

🌟 Over $20M paid out already!

Start earning today!
👉 tmtrcks.com/250393/801

#ad #sponsored #BlueSky #UpLevelRewards #Rewards #EarnMoney #CashOut",iamaaronnetch.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/iamaaronnetch.bsky.social/post/3ldwgikvom227
3lnxxdc3nac2d,"Whats better than talking sh*t on social media? Getting paid for it! Answer surveys, get cash, and keep throwing shade from the comfort of your couch. Visit www.acop.com/sign_up/?source=Blueskyhomepage&SSAID=606 now to start earning

#onlinesidehustle #surveys #makemoney",joinacop.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,85,https://bsky.app/profile/joinacop.bsky.social/post/3lnxxdc3nac2d
3lmytrh77bk2t,"💡 Upload audiobooks.
💰 Earn $25–$50 repeatedly.
🔒 Tap into Amazon's secret royalty system with AZ Instant PayDay.
No skills needed. Just plug & play!

🎧➡️💸 marketingprofitmedia.com/az-instant-p...

#PassiveIncome #AmazonRoyalties #AZInstantPayDay #AZInstantPayDayReview  #SideHustle #MakeMoney",zahidjoney.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,95,https://bsky.app/profile/zahidjoney.bsky.social/post/3lmytrh77bk2t
3lm5isifoce2l,"Ever wanted to try being an influencer? Here is your chance. Click the link to get started: app.mave.ly/R3SGkikSfRb

#sidehustle #passiveincome #money #sidejob #economy #influencer #makemoney #thesidehustle #calvinklein #nike #lego #summersalt #herroom #aloyoga",adorenexplore.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,70,https://bsky.app/profile/adorenexplore.bsky.social/post/3lm5isifoce2l
3lnckqrytyc2l,"🆕Sell done-for-you PDF guides online🤖 Let AI do the research & writing. Work in any niches! Just copy, paste & upload We show you how to distribute online for free➡️ WATCH THE SHORT VIDEO DEMO HERE: pdfsidehustle.com 
#sidehustle #sidehustleideas #workfromhome #beyourownboss #passiveincome #makemoney",bestsidehustle.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/bestsidehustle.bsky.social/post/3lnckqrytyc2l
3lnbm5efwwc2m,"88 ways to make money, all free and complete at newbizideas.com - Many require little or no experience, time or money. Some are quite surprising. (#homeBusiness, #selfEmployment, #makeMoney, #passiveIncome,  #businessIdeas, #business, #startABusiness, #money, #free)",quizand.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/quizand.bsky.social/post/3lnbm5efwwc2m
3llythso2ms2c,"""Just made $15 in 1 day from my phone using this app!
No investment 
No skills""
Try here
sites.google.com/view/earn510...

#makemoney #makemoney #online #onliejobs",maniruddin.bsky.social,scam,not_scam,0.0,No suspicious patterns detected,regex_patterns,95,https://bsky.app/profile/maniruddin.bsky.social/post/3llythso2ms2c
3lgezhy2hjc2i,"Online High Profit Success >>  bit.ly/3WxgMtl

#success #internet #internetmarketing #onlinemarketing #affiliatemarketing #marketing #business #makemoneyonline #makemoney #earnfromhome #earnathome #biz #worldwide",learntoearnonline.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/learntoearnonline.bsky.social/post/3lgezhy2hjc2i
3lfbr5vzk632p,"Stop dreaming and start earning! Join my Telegram group for FREE giveaways and online money-making tips that actually work. 💡💰 

#EarnFromHome #GiveawaysDaily",henry641.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/henry641.bsky.social/post/3lfbr5vzk632p
3ldvvl5dxg22l,"Looking for a cool work-from-home gig? 🍏 Get paid $150/day to diet and share your experiences! Flexible hours and work from anywhere.

Apply now: bit.ly/WritingRevie...

#DietJobs #RemoteWork #WorkFromHome #FlexibleJobs #HealthyLiving #SideHustle #EarnFromHome #OnlineJobs #ReviewJobs #DietReview",abhayaarya.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,70,https://bsky.app/profile/abhayaarya.bsky.social/post/3ldvvl5dxg22l
3ldvvfy4fbc2l,"Looking for a cool work-from-home gig? 🎧 Get paid $20/hour to listen to Spotify playlists and write reviews! Flexible hours and work from anywhere.

Apply now: bit.ly/WritingRevie...

#SpotifyJobs #RemoteWork #WorkFromHome #FlexibleJobs #MusicLovers #SideHustle #EarnFromHome #OnlineJobs",abhayaarya.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,70,https://bsky.app/profile/abhayaarya.bsky.social/post/3ldvvfy4fbc2l
3lhj5lyka542p,"💰💤 Want to earn money while you sleep? 🌙 It’s not a dream—it's passive income! 💡 😴 Start your journey to financial freedom NOW! 🚀

#PassiveIncome #FinancialFreedom #MoneyWhileYouSleep #DreamBig #WorkSmartNotHard #EarnFromHome #WealthBuilding #FinancialGoals #SideHustle #MoneyMindset #SleepAndEarn",kickengage.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/kickengage.bsky.social/post/3lhj5lyka542p
3lgvwsjr66k2q,"Make $100 a day Online Ebook with Resell Rights that I'm giving away for free!

#OnlineProfits

#MakeMoneyOnline

#PassiveIncome

#SideHustleIdeas

#EarnFromHome

#DigitalIncome

#OnlineEarnings

#ProfitFromHome

#WorkFromHome

#FinancialFreedom

#OnlineBusinessTips

drive.google.com/file/d/1twiU...",willowgames.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/willowgames.bsky.social/post/3lgvwsjr66k2q
3lmmtryfhde2s,Want to earn extra income without leaving home? Work with us. Apply now at zurl.co/iYASS #EarnFromHome #SideJob #MoneyMatters,kaizenadvance.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,70,https://bsky.app/profile/kaizenadvance.bsky.social/post/3lmmtryfhde2s
3lk7gwnlkn22a,"Referral Program vs. Dropshipping – Which is More Profitable? 💡

Referral program has key advantages:

✅ No risks or investments 
✅ No logistics hassles 
✅ Passive income 
✅ Quick start 

🔗 Join now: surl.li/pfvrmb

#passiveincome #refferalprogram #earn #earnfromhome #earnmoneyonline #money #rich",spreadsheetshub.com,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/spreadsheetshub.com/post/3lk7gwnlkn22a
3ljslcuoatk2k,"How to Earn Money Online from Home 💻💰

✅ 100% digital product – no shipping, instant delivery
✅ Work from anywhere, anytime
✅ Passive income with ease

Start earning today! 🚀

🔗 surl.li/dcknhf

#makemoneyonline #howto #earnfromhome #onlinework #foru #earn #passiveincome",spreadsheetshub.com,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,90,https://bsky.app/profile/spreadsheetshub.com/post/3ljslcuoatk2k
3ljos3bfo422c,"🚀 ""Build wealth while you sleep.
MOSCA’s revenue share program works 24/7 for you.
👉 Learn more: form.jotform.com/250355675046...

#PassiveIncome #RevenueShare #EarnFromHome",dweller.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/dweller.bsky.social/post/3ljos3bfo422c
3lnu4j5rruk2y,"🎉 It's Instant Week on #YOLO247! 🎮✨

Time to dive into the thrill with games like Aviator, Mines, Plinko X, Hamster Mania, JetX, and many more! 🚀

Quick moves, instant wins, unlimited fun!🔥

Start playing now via link in bio.

#InstantGames #GamingLife #PlayAndEarn #GamingGoals #EasyMoney",yolo247officialin.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/yolo247officialin.bsky.social/post/3lnu4j5rruk2y
3ln6zdhv5d222,"I made residual income this week while binge-watching Netflix.
No sales. No inventory. Just smart strategy.
Want in?
#SideHustle #AffiliateMarketing #MakeMoneyOnline #easymoney",earningmoneyonline.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,95,https://bsky.app/profile/earningmoneyonline.bsky.social/post/3ln6zdhv5d222
3ldvusz5wpk2l,"🛒 eBay Listing Experts Wanted! Earn $15 Per Listing!
💼 Work from home with flexible hours.

👉 Apply now: bit.ly/OnlineWritin...

#eBayJobs #FreelanceOpportunities #RemoteWork #WorkFromHome #eBayListing #FreelanceJobs #OnlineJobs #FlexibleWork #EarnFromHome #eCommerceJobs",abhayaarya.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/abhayaarya.bsky.social/post/3ldvusz5wpk2l
3lahcrvioq62c,"👉 Want a simple way to make money online? Imagine sharing just ONE special link and watching commissions roll in—no email marketing needed! 😍

I've already started seeing results in just days! Want in for FREE? Comment below, and I’ll DM you the registration link! 😁

#MakeMoneyOnline
#EarnFromHome",steadfastmarketers.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,95,https://bsky.app/profile/steadfastmarketers.bsky.social/post/3lahcrvioq62c
3l7gpxqhhvj22,"How to Make Money Online for Beginners Without Paying Anything
Welcome to my How to Make Money Online for Beginners Without Paying Anything blog post. 
More information: softbestreview.com/how-to-make-...
#makemoneyonlinefree
#MakeMoneyOnline #EarnMoneyOnline  #MoneyHacks #EarnFromHome #MakeMoney",softbestreview.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,80,https://bsky.app/profile/softbestreview.bsky.social/post/3l7gpxqhhvj22
3l4jde5xekm23,"Online Jobs Work At Your Home

Looking for flexible work? ﻿🌐﻿﻿💼﻿ Start earning from the comfort of your home! ﻿🏡﻿﻿💻﻿ Sign up today for online jobs and enjoy a work-life balance like never before. ﻿🚀﻿﻿📈﻿

Sign up : rb.gy/nrs9qg 
 
#OnlineJobs #WorkFromHome #RemoteWork #FreelanceLife #EarnFromHome",maria90.bsky.social,not_scam,scam,0.4,Contains call-to-action phrases. Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,70,https://bsky.app/profile/maria90.bsky.social/post/3l4jde5xekm23
3lmuwaemuts2s,"Cash-For-That.com buys your RVs, ATVs, motorcycles, and more—quick cash, no stress, and we handle the pickup. 🚙🚤
#SellYourVehicle #VehicleSales #VehicleBuyer #QuickCash",cash-for-that.bsky.social,not_scam,scam,0.7,"Contains suspicious earnings claims. Matched patterns: no_barrier: quick cash, hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b",regex_patterns,95,https://bsky.app/profile/cash-for-that.bsky.social/post/3lmuwaemuts2s
3lmazw6dzic2f,"Woot just redeemed another Amazon gift card!  

Who else want's free gift cards?

msha.ke/cashflowrefe...

#FreeStuff #EasyMoney #SideHustles #makemoneyfromyourphone #Referral #Promo #Signup #Bonus #getpaidtoshop #onlinesidehustleforbeginners #freemoney #instantcashout",thecosmicwizard.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/thecosmicwizard.bsky.social/post/3lmazw6dzic2f
3lmavodjzqk2f,"Free $5 just for opening an account!  Extra $50 for us both if you DD at least $100!

msha.ke/cashflowrefe...

#FreeStuff #EasyMoney #SideHustles #makemoneyfromyourphone #Referral #Promo #Signup #Bonus #onlinesidehustleforbeginners #freemoney #instantcashout",thecosmicwizard.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/thecosmicwizard.bsky.social/post/3lmavodjzqk2f
3ljpwyksexk2f,"Looking for a reliable pawnshop in South Florida? 💎💰 Dixie Pawn offers fair deals, quick cash loans & expert service in Hollywood, FL! Stop by today.

📍 2316 N Dixie Hwy
📞 954-927-8400

#PawnShop #SouthFlorida #GoldBuyer #QuickCash #HollywoodFL #DaniaBeach",dixiepawn.bsky.social,not_scam,scam,0.7,"Contains suspicious earnings claims. Matched patterns: no_barrier: quick cash, no_barrier: quick cash.*?(today|sign up), hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b",regex_patterns,95,https://bsky.app/profile/dixiepawn.bsky.social/post/3ljpwyksexk2f
3lct56qtclk2n,"Making my own money
How to earn incredible amounts of money with easy to set up side hustles. 
#money #makingmoney #sidehustle #sidehustles #quickcash",shortellis.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/shortellis.bsky.social/post/3lct56qtclk2n
3lmizvtvnds2f,"bsky.app/profile/kayr...

#FreeStuff #EasyMoney #SideHustles #makemoneyfromyourphone #Referral #Promo #Signup #Bonus #getpaidtoshop #onlinesidehustleforbeginners #freemoney #instantcashout",kayracingstars.bsky.social,scam,not_scam,0.0,Matched patterns: hashtags: #(?:earnmoneyonline|earnfromhome|quickcash|easymoney|fastcash|getpaid|paidinstantly|passiveincome|reviewandearn|likeandgetpaid|payperlike|clicktask|paysurvey|dmforinfo|linkinbio|telegramlink|whatsappme|100aday|500aweek|5kmonth)\b,regex_patterns,85,https://bsky.app/profile/kayracingstars.bsky.social/post/3lmizvtvnds2f
